"Distributions of household economic accounts, income, consumption and saving, Canada, provinces and territories, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0663-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada 1,,,,,,,,,,,Newfoundland and Labrador 1,,,,,,,,,,,Prince Edward Island 1,,,,,,,,,,,Nova Scotia 1,,,,,,,,,,,New Brunswick 1,,,,,,,,,,,Quebec 1,,,,,,,,,,,Ontario 1,,,,,,,,,,,Manitoba 1,,,,,,,,,,,Saskatchewan 1,,,,,,,,,,,Alberta 1,,,,,,,,,,,British Columbia 1,,,,,,,,,,,Yukon 1,,,,,,,,,,,Northwest Territories 1,,,,,,,,,,,Nunavut 1,,,,,,,,,,
Statistics,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,,Value per consumption unit 2,,,,,,,,,,
Characteristics,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,,All households,,,,,,,,,,
"Income, consumption and savings",Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household disposable income,"12,182","13,880","14,223","13,847","13,189","13,604","14,707","14,070","13,367","13,696","14,940","10,866","12,936","12,636","12,481","13,025","13,384","13,980","13,135","11,744","12,837","13,390","9,936","11,674","11,948","11,332","12,236","12,142","13,861","12,386","10,996","11,477","13,924","10,595","12,453","12,306","11,928","11,833","12,367","12,967","12,193","11,273","12,081","12,547","10,491","12,284","12,101","11,885","11,983","12,252","12,992","12,356","11,389","12,165","13,054","10,647","11,923","12,305","12,108","11,459","11,627","13,011","12,476","11,544","11,681","13,158","12,432","14,386","14,468","14,047","13,507","14,062","14,924","14,327","13,839","14,251","15,250","11,187","12,766","13,370","12,722","12,164","12,026","13,744","12,919","11,905","11,626","14,262","12,125","12,290","16,506","14,460","12,783","13,002","14,293","13,764","12,696","12,891","14,425","14,249","16,152","16,402","16,327","14,820","15,237","16,495","15,790","14,944","15,149","16,619","13,305","15,089","15,530","15,142","14,609","15,249","16,407","15,637","15,065","15,504","16,652","15,992","17,917","17,879","17,909","18,010","18,943","19,742","18,892","17,976","19,783","21,654","17,467","19,907","19,900","19,820","18,951","19,898","21,080","20,752","23,618","23,851","25,601","15,675","19,015","17,948","17,334","16,673","16,826","17,787","16,755","25,814","26,575","29,117"
Net mixed income,"1,915","1,766","2,346","2,058","1,932","1,908","2,391","2,128","1,978","1,895","2,691","1,529","1,589","1,643","1,576","1,620","1,792","1,796","1,702","1,655","1,885","1,877","1,776","1,714","2,128","1,870","2,198","1,835","3,031","2,458","2,165","1,664","3,753","1,861","1,885","2,068","1,922","1,945","2,092","2,234","2,045","1,976","2,131","2,344","1,399","1,434","1,520","1,446","1,536","1,609","1,778","1,643","1,560","1,674","1,964","1,341","1,181","1,711","1,460","1,375","1,225","1,857","1,582","1,423","1,186","2,262","1,834","1,791","2,099","1,939","1,852","1,926","2,223","2,022","1,906","1,939","2,438","2,009","1,653","2,703","2,203","2,070","1,648","2,881","2,404","2,072","1,504","3,570","2,175",327,"4,882","2,892","1,905","1,756","2,440","2,144","1,910","1,703","2,833","2,003","1,816","2,508","2,164","1,918","1,780","2,434","2,131","1,931","1,713","2,754","3,076","3,014","3,591","3,273","3,170","3,245","3,768","3,393","3,236","3,241","4,044","3,309","3,459","3,535","3,374","3,672","4,085","4,091","3,817","3,582","4,155","4,185","2,822","2,960","3,013","2,898","2,885","3,177","3,205","3,051","3,034","3,318","3,330","2,139","2,206","2,244","2,119","1,996","2,099","2,217","2,034","1,930","2,110","2,235"
Property income received,"2,057","2,049","2,000","2,171","1,990","2,041","2,090","2,181","2,122","2,188","2,265","1,105","1,094","1,056","1,203","1,124","1,147","1,164","1,247","1,219","1,221","1,253","1,238","1,232","1,221","1,335","1,225","1,269","1,291","1,323","1,294","1,312","1,346","1,716","1,712","1,667","1,841","1,658","1,711","1,741","1,827","1,793","1,818","1,859","1,330","1,324","1,278","1,435","1,324","1,357","1,381","1,471","1,431","1,457","1,497","1,845","1,838","1,764","2,016","1,757","1,805","1,847","1,984","1,915","1,923","1,983","2,171","2,155","2,112","2,254","2,122","2,165","2,218","2,299","2,241","2,318","2,417","1,613","1,590","1,543","1,694","1,536","1,561","1,587","1,671","1,629","1,667","1,727","2,007","2,000","1,951","2,129","1,933","2,001","2,042","2,146","2,074","2,172","2,214","2,329","2,333","2,291","2,450","2,163","2,236","2,292","2,370","2,298","2,413","2,471","2,311","2,312","2,283","2,418","2,288","2,361","2,422","2,471","2,421","2,538","2,631","1,866","1,868","1,793","2,032","1,826","1,888","1,929","2,041","1,959","1,984","2,016","1,826","1,823","1,735","2,067","1,787","1,839","1,870","2,069","1,975","1,946","1,991","1,250","1,230","1,137","1,432","1,185","1,201","1,220","1,358","1,293","1,229","1,229"
Less: property income paid,765,689,698,679,653,651,646,625,630,699,854,520,461,467,453,422,418,417,406,414,460,564,457,409,424,400,402,401,399,374,384,423,510,517,460,468,449,416,416,412,395,404,446,543,477,424,428,416,387,382,381,371,378,418,510,551,495,500,486,464,463,462,446,451,502,615,896,807,817,796,782,781,774,750,753,836,"1,023",528,477,481,468,427,423,420,408,415,458,553,626,568,573,560,509,505,504,491,498,547,654,819,737,746,727,648,643,640,621,624,689,836,936,851,865,843,827,828,820,786,791,880,"1,080",673,612,618,595,568,568,563,537,537,596,732,577,525,531,516,485,484,481,469,470,522,648,234,208,208,201,173,170,170,161,163,179,221
Current transfers received,"3,729","5,725","4,680","4,156","4,481","4,376","4,311","3,865","4,073","3,884","3,967","4,500","6,658","5,522","5,004","6,179","5,942","5,937","5,116","5,494","5,124","5,228","3,574","5,485","4,589","4,011","4,896","4,714","4,710","3,915","4,273","3,899","3,968","3,632","5,536","4,564","4,019","4,559","4,499","4,426","3,838","4,022","3,882","3,946","4,025","5,903","4,914","4,451","5,119","4,942","4,935","4,330","4,660","4,345","4,444","3,800","5,503","4,621","4,151","4,394","4,305","4,326","3,947","4,227","3,996","4,056","3,687","5,816","4,694","4,137","4,482","4,377","4,271","3,816","3,979","3,821","3,922","3,673","5,683","4,581","4,063","4,537","4,424","4,306","3,867","4,060","3,930","3,987","4,132","6,248","5,116","4,593","4,994","4,847","4,759","4,342","4,681","4,359","4,471","3,826","6,066","4,853","4,318","4,643","4,526","4,413","3,950","4,122","3,931","4,013","3,439","5,333","4,393","3,872","4,019","3,921","3,878","3,452","3,635","3,485","3,552","4,391","6,547","5,344","4,779","5,556","5,474","5,274","4,716","4,913","4,755","4,853","5,905","8,523","7,059","6,469","6,874","6,880","6,745","6,363","6,636","6,530","6,588","5,274","9,029","6,749","5,822","6,602","6,279","5,944","5,227","5,555","5,131","5,359"
Less: current transfers paid,"6,055","5,541","5,538","5,642","6,201","6,143","5,912","5,932","6,768","6,500","6,104","5,568","5,113","5,033","5,050","5,687","5,655","5,413","5,459","6,281","6,103","5,692","4,682","4,289","4,362","4,281","4,838","4,810","4,604","4,433","5,189","4,971","4,626","5,242","4,761","4,813","4,846","5,339","5,363","5,133","5,099","5,859","5,641","5,283","5,036","4,594","4,498","4,619","5,045","5,015","4,766","4,802","5,521","5,362","4,974","6,357","6,012","5,990","6,030","6,525","6,581","6,301","6,305","7,199","7,021","6,545","6,160","5,586","5,533","5,780","6,288","6,204","5,996","6,047","6,858","6,551","6,191","5,635","5,050","5,071","5,172","5,655","5,597","5,363","5,413","6,176","5,969","5,577","5,828","5,305","5,214","5,302","5,934","5,847","5,564","5,590","6,434","6,211","5,744","6,388","5,761","5,953","5,774","6,389","6,254","6,045","6,102","6,909","6,576","6,195","5,469","4,930","4,960","5,031","5,804","5,669","5,458","5,396","6,271","5,953","5,591","7,038","6,582","6,452","6,244","7,225","7,243","6,824","6,761","7,675","7,491","6,869","10,079","9,332","9,163","9,415","10,418","10,552","9,946","10,100","11,400","11,223","10,408","9,140","8,380","8,150","8,378","9,091","9,118","8,619","8,586","9,625","9,712","8,740"
Social transfers in kind (STiK): education,"1,134","1,040","1,100","1,130","1,111","1,088","1,094","1,115","1,158","1,114","1,194","1,255","1,158","1,221","1,263","1,307","1,349","1,373","1,399","1,479","1,429","1,502","1,040",939,"1,016","1,021","1,132","1,073","1,094","1,074","1,138","1,085","1,156","1,053","1,034","1,100","1,122","1,155","1,030","1,049","1,039","1,097","1,125","1,264","1,019",833,829,961,"1,140",966,846,948,"1,415","1,350",745,"1,028",988,"1,036","1,075","1,131","1,075","1,104","1,123","1,166","1,109","1,168","1,190","1,053","1,123","1,131","1,074","1,053","1,054","1,072","1,138","1,100","1,247","1,183","1,164","1,221","1,336","1,256","1,258","1,298","1,255","1,274","1,215","1,369","1,526","1,437","1,397","1,490","1,521","1,510","1,486","1,552","1,537","1,461","1,536","1,241","1,112","1,214","1,254","1,125","1,148","1,157","1,193","1,153","1,110","1,154",969,915,962,981,980,999,985,"1,007","1,000",965,995,"1,719","1,496","1,585","1,621","1,741","1,694","1,742","1,746","1,804","1,713","1,793","2,610","2,393","2,489","2,570","2,693","2,607","2,675","2,735","2,849","2,737","2,813","3,367","2,991","3,119","3,198","3,181","3,092","3,190","3,177","3,272","3,049","3,221"
Social transfers in kind (STiK): health,"1,736","1,744","1,815","1,939","2,035","1,991","2,029","2,027","2,209","1,713","1,863","2,003","1,897","2,005","2,064","2,282","2,146","2,211","2,235","2,499","2,169","2,356","1,580","1,458","1,579","1,579","1,848","1,763","1,815","1,767","1,914","1,577","1,733","2,058","1,905","2,018","2,058","2,259","2,091","2,149","2,142","2,336","1,795","2,075","1,867","1,910","1,885","1,937","2,174","2,051","1,925","2,041","1,889","2,694","1,903","1,808","1,887","1,974","2,027","2,156","2,039","2,085","2,056","2,309","2,030","2,258","1,550","1,583","1,607","1,751","1,896","1,928","1,957","1,939","2,107","1,228","1,358","2,324","2,070","2,162","2,885","2,420","2,574","2,607","2,590","2,746","2,263","2,617","1,942","1,755","1,951","2,094","2,069","1,911","2,135","2,167","2,264","1,981","2,263","1,806","1,766","1,938","2,028","2,011","1,851","1,906","1,942","2,118","1,841","1,924","1,705","1,722","1,780","1,878","1,985","1,971","1,985","2,018","2,176","1,950","2,115","2,995","2,913","3,093","3,145","3,115","2,942","3,059","3,036","3,777","3,360","3,630","5,120","4,915","5,129","5,265","5,646","5,404","5,597","5,679","6,148","5,679","6,017","7,949","7,512","7,774","7,920","7,706","7,289","7,603","7,519","9,057","8,169","8,908"
Social transfers in kind (STiK): other,717,659,682,709,692,672,694,703,715,720,763,492,453,473,494,509,489,504,512,496,501,517,546,502,532,543,560,535,546,538,589,619,643,655,634,660,679,671,659,679,672,709,641,691,685,499,531,554,753,516,535,562,498,703,567,554,512,534,556,522,526,558,558,554,563,589,805,740,778,801,779,737,757,768,790,782,853,"1,083",971,917,928,962,928,941,972,"1,111",994,"1,046",702,663,676,709,705,676,681,699,728,753,764,691,646,641,726,656,655,675,689,663,669,724,667,612,638,641,652,686,701,707,723,756,775,"1,852","1,847","1,913","1,993","2,056","1,934","2,001","2,015","2,065","2,051","2,138","3,688","3,348","3,435","3,609","3,657","3,429","3,555","3,659","3,731","3,643","3,767","4,942","4,430","4,548","4,743","4,640","4,328","4,508","4,521","4,594","5,487","5,801"
